| table_schema | table_name                      | column_name                   | data_type                   | is_nullable | column_default                                             |
| public       | customer_feedback               | feedback_text                 | text                        | YES         | null                                                       |
| public       | customer_feedback               | customer_id                   | text                        | YES         | null                                                       |
| public       | customer_feedback               | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | data_split_stats                | id                            | integer                     | NO          | nextval('data_split_stats_id_seq'::regclass)               |
| public       | data_split_stats                | dataset_id                    | character varying           | NO          | null                                                       |
| public       | data_split_stats                | total_samples                 | integer                     | YES         | null                                                       |
| public       | data_split_stats                | train_samples                 | integer                     | YES         | null                                                       |
| public       | data_split_stats                | val_samples                   | integer                     | YES         | null                                                       |
| public       | data_split_stats                | test_samples                  | integer                     | YES         | null                                                       |
| public       | data_split_stats                | unique_combinations           | integer                     | YES         | null                                                       |
| public       | data_split_stats                | cross_split_violations        | integer                     | YES         | null                                                       |
| public       | data_split_stats                | rda_applied                   | integer                     | YES         | null                                                       |
| public       | data_split_stats                | split_accuracy                | numeric                     | YES         | null                                                       |
| public       | data_split_stats                | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | dataset_splits                  | id                            | integer                     | NO          | nextval('dataset_splits_id_seq'::regclass)                 |
| public       | dataset_splits                  | dataset_id                    | character varying           | NO          | null                                                       |
| public       | dataset_splits                  | sample_id                     | character varying           | NO          | null                                                       |
| public       | dataset_splits                  | split_type                    | character varying           | NO          | null                                                       |
| public       | dataset_splits                  | domain                        | character varying           | YES         | 'original'::character varying                              |
| public       | dataset_splits                  | rda_intensity                 | integer                     | YES         | 0                                                          |
| public       | dataset_splits                  | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | dataset_versions                | id                            | integer                     | NO          | nextval('dataset_versions_id_seq'::regclass)               |
| public       | dataset_versions                | version                       | character varying           | NO          | null                                                       |
| public       | dataset_versions                | description                   | text                        | YES         | null                                                       |
| public       | dataset_versions                | file_counts                   | jsonb                       | YES         | null                                                       |
| public       | dataset_versions                | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | dataset_versions                | is_current                    | boolean                     | YES         | false                                                      |
| public       | dataset_versions                | storage_path                  | character varying           | YES         | null                                                       |
| public       | dataset_versions                | metadata                      | jsonb                       | YES         | null                                                       |
| public       | deployment_queue                | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | deployment_queue                | model_id                      | integer                     | YES         | null                                                       |
| public       | deployment_queue                | model_version                 | character varying           | NO          | null                                                       |
| public       | deployment_queue                | target_stores                 | jsonb                       | YES         | '[]'::jsonb                                                |
| public       | deployment_queue                | deployment_strategy           | character varying           | YES         | 'gradual'::character varying                               |
| public       | deployment_queue                | status                        | character varying           | YES         | 'pending'::character varying                               |
| public       | deployment_queue                | pilot_stores                  | jsonb                       | YES         | '[]'::jsonb                                                |
| public       | deployment_queue                | pilot_results                 | jsonb                       | YES         | '{}'::jsonb                                                |
